Round,Pick Number,Current Team,Original Team,Year
3,84,Packers,Packers,2026
3,85,Steelers,Steelers,2026
3,86,Chargers,Chargers,2026
3,87,Dolphins,Eagles,2026
3,88,Jaguars,Jaguars,2026
3,89,Bears,Bears,2026
3,90,Dolphins,Texans,2026
3,91,Bills,Bills,2026
3,92,49ers,49ers,2026
3,93,Rams,Rams,2026
3,94,Broncos,Broncos,2026
3,95,Patriots,Patriots,2026
3,96,Seahawks,Seahawks,2026
3,97,Vikings,Vikings,2026
3,98,Eagles,Eagles,2026
3,99,Steelers,Steelers,2026
3,100,Jaguars,Lions,2026
4,101,Titans,Titans,2026
4,102,Raiders,Raiders,2026
4,103,Jets,Jets,2026
4,104,Cardinals,Cardinals,2026
4,105,Giants,Giants,2026
4,106,Texans,Commanders,2026
4,107,Browns,Browns,2026
4,108,Broncos,Saints,2026
4,109,Chiefs,Chiefs,2026
4,110,Bengals,Bengals,2026
4,111,Dolphins,Dolphins,2026
4,112,Cowboys,Cowboys,2026
4,113,Colts,Colts,2026
4,114,Falcons,Falcons,2026
4,115,Ravens,Ravens,2026
4,116,Buccaneers,Buccaneers,2026
4,117,Raiders,Vikings,2026
4,118,Lions,Lions,2026
4,119,Panthers,Panthers,2026
4,120,Packers,Packers,2026
4,121,Steelers,Steelers,2026
4,122,Eagles,Eagles,2026
4,123,Chargers,Chargers,2026
4,124,Jaguars,Jaguars,2026
4,125,Patriots,Bears,2026
4,126,Bills,Bills,2026
4,127,49ers,49ers,2026
4,128,Texans,Texans,2026
4,129,Bears,Rams,2026
4,130,Broncos,Broncos,2026
4,131,Patriots,Patriots,2026
4,132,Saints,Seahawks,2026
4,133,49ers,49ers,2026
4,134,Raiders,Raiders,2026
4,135,Steelers,Steelers,2026
4,136,Saints,Saints,2026
4,137,Eagles,Eagles,2026
4,138,49ers,49ers,2026
5,139,Browns,Raiders,2026
5,140,Titans,Jets,2026
5,141,Cardinals,Cardinals,2026
5,142,Titans,Titans,2026
5,143,Giants,Giants,2026
5,144,Browns,Browns,2026
5,145,Commanders,Commanders,2026
5,146,Chiefs,Chiefs,2026
5,147,Browns,Bengals,2026
5,148,Saints,Saints,2026
5,149,Dolphins,Dolphins,2026
5,150,Cowboys,Cowboys,2026
5,151,Eagles,Falcons,2026
5,152,Ravens,Ravens,2026
5,153,Buccaneers,Buccaneers,2026
5,154,Colts,Colts,2026
5,155,Lions,Lions,2026
5,156,Panthers,Vikings,2026
5,157,Panthers,Panthers,2026
5,158,Packers,Packers,2026
5,159,Steelers,Steelers,2026
5,160,Ravens,Chargers,2026
5,161,Vikings,Eagles,2026
5,162,Jaguars,Jaguars,2026
5,163,Bears,Bears,2026
5,164,Jaguars,49ers,2026
5,165,Texans,Texans,2026
5,166,Bills,Bills,2026
5,167,Rams,Rams,2026
5,168,Broncos,Broncos,2026
5,169,Patriots,Patriots,2026
5,170,Saints,Seahawks,2026
5,171,49ers,49ers,2026
5,172,Ravens,Ravens,2026
5,173,Ravens,Ravens,2026
5,174,Raiders,Raiders,2026
5,175,Jets,Jets,2026
5,176,Chiefs,Chiefs,2026
5,177,Cowboys,Cowboys,2026
5,178,Jets,Jets,2026
5,179,Eagles,Eagles,2026
5,180,Lions,Lions,2026
6,181,Raiders,Jets,2026
6,182,Cardinals,Cardinals,2026
6,183,Titans,Titans,2026
6,184,Raiders,Raiders,2026
6,185,Giants,Giants,2026
6,186,Commanders,Commanders,2026
6,187,Lions,Browns,2026
6,188,Bengals,Bengals,2026
6,189,Saints,Saints,2026
6,190,Patriots,Chiefs,2026
6,191,Giants,Dolphins,2026
6,192,Giants,Cowboys,2026
6,193,Jets,Ravens,2026
6,194,Buccaneers,Buccaneers,2026
6,195,Vikings,Colts,2026
6,196,Falcons,Falcons,2026
6,197,Commanders,Vikings,2026
6,198,Bengals,Lions,2026
6,199,Panthers,Panthers,2026
6,200,Packers,Packers,2026
6,201,Patriots,Steelers,2026
6,202,Jaguars,Eagles,2026
6,203,Chargers,Chargers,2026
6,204,Lions,Jaguars,2026
6,205,Browns,Bears,2026
6,206,Rams,Texans,2026
6,207,Jets,Bills,2026
6,208,Patriots,49ers,2026
6,209,Rams,Rams,2026
6,210,Ravens,Broncos,2026
6,211,Patriots,Patriots,2026
6,212,Seahawks,Seahawks,2026
6,213,Steelers,Steelers,2026
6,214,Steelers,Steelers,2026
6,215,Cowboys,Cowboys,2026
6,216,Colts,Colts,2026
7,217,Cardinals,Cardinals,2026
7,218,Jets,Titans,2026
7,219,Raiders,Raiders,2026
7,220,Bills,Jets,2026
7,221,Cowboys,Giants,2026
7,222,Lions,Browns,2026
7,223,Commanders,Commanders,2026
7,224,Steelers,Saints,2026
7,225,Cowboys,Chiefs,2026
7,226,Bengals,Bengals,2026
7,227,Dolphins,Dolphins,2026
7,228,Bills,Cowboys,2026
7,229,Buccaneers,Buccaneers,2026
7,230,Colts,Colts,2026
7,231,Falcons,Falcons,2026
7,232,Rams,Ravens,2026
7,233,Jaguars,Lions,2026
7,234,Vikings,Vikings,2026
7,235,Panthers,Panthers,2026
7,236,Packers,Packers,2026
7,237,Steelers,Steelers,2026
7,238,Titans,Chargers,2026
7,239,Bears,Eagles,2026
7,240,Vikings,Jaguars,2026
7,241,Bears,Bears,2026
7,242,Jets,Bills,2026
7,243,Texans,49ers,2026
7,244,Texans,Texans,2026
7,245,Jaguars,Rams,2026
7,246,Broncos,Broncos,2026
7,247,Patriots,Patriots,2026
7,248,Browns,Seahawks,2026
7,249,Ravens,Ravens,2026
7,250,Rams,Rams,2026
7,251,Broncos,Broncos,2026
7,252,Ravens,Ravens,2026
7,253,Colts,Colts,2026
7,254,Packers,Packers,2026
7,255,Broncos,Broncos,2026
7,256,Rams,Rams,2026
7,257,Packers,Packers,2026
